max_runtime,dt,reference_speed,cte_weight,epsi_weight,v_weight,delta_weight,a_weight,delta_gap_weight,a_gap_weight,crashed,runtime,distance,total_absolute_cte
90,0.05,50,1,0.019354149,0.050749384,0.021820779,1.631474,0.677693315,25.56661228,TRUE,6.9399,60.2458,14.1984
90,0.05,50,1,0.007193835,15.54484223,0.185846048,1.128119631,0.583043973,0.647129368,TRUE,5.17928,46.6799,8.97075
90,0.05,50,1,2.043787113,1.622263437,0.328048921,0.000429893,0.017965587,18.61107644,TRUE,5.20497,44.4399,11.2798
90,0.05,50,1,1.497131214,0.027398848,0.501517648,0.014549772,2.878128386,0.189887661,TRUE,5.10055,27.6308,2598450
90,0.05,50,1,20.28284603,1.201316044,0.224369122,2.654822225,2.570405861,0.102513347,TRUE,5.78956,70.4958,3.06707
90,0.05,50,1,0.275223083,0.000587593,0.4702724,0.024104585,1.268890785,0.626897929,TRUE,5.02113,60.9151,240.915
90,0.05,50,1,0.340843239,32.22319188,0.019511224,0.656576239,178.568935,0.055792283,TRUE,5.18306,0.0310373,62.1516
90,0.05,50,1,0.442770191,0.137089389,3.799886336,17.83862669,1.757048711,43.03493048,TRUE,5.11266,0.0387354,63.2172
90,0.05,50,1,0.256028889,1.929559256,2.97221353,0.398193856,0.047517193,19.06227873,TRUE,5.06614,0.0380495,65.6852
90,0.05,50,1,7.823760302,3.053026607,4.723857436,29.86144341,16.83722572,0.053593359,TRUE,5.10669,0.0350692,69.8047
90,0.05,50,1,0.077428401,13.5862323,0.026854997,0.151710401,0.516703047,1.776818076,TRUE,5.02192,39.5368,15.432
90,0.05,50,1,0.278836551,26.37873976,0.028410185,3.164747469,517.7081827,0.118903834,TRUE,17.0074,305.914,8.15304
90,0.05,50,1,0.020428584,0.420794047,7.061651922,0.637663279,0.893359391,19.86221531,TRUE,5.12914,53.0138,8.50927
90,0.05,50,1,110.3220369,2.050780439,0.009109596,0.076124356,0.000719066,0.536920183,TRUE,5.07007,50.3435,8.63554
90,0.05,50,1,140.8810815,0.315501659,0.714399422,1.327951929,0.181806538,0.050497224,TRUE,5.12222,50.7762,7.29541
90,0.05,50,1,11.67327345,0.260036139,0.076215921,0.103730736,8.821912238,0.062763363,TRUE,6.17286,79.1163,6.4492
90,0.05,50,1,0.623261435,0.058060189,0.355059964,0.066504716,0.977611555,1.932354707,TRUE,5.16081,10.994,42384.8
90,0.05,50,1,0.00179812,474.8767361,0.000179364,2.437655615,7.091885313,0.283776341,TRUE,5.06742,17.8126,8658.99
90,0.05,50,1,2.392460093,10.31985461,3.603727868,1.924276783,6.632675014,1.14629627,TRUE,5.06183,0.0102164,13701.2
90,0.05,50,1,5.630534814,0.378564629,60.84416779,2.266536253,11.87289963,3.063172841,TRUE,5.244,0.00937896,14196.1
90,0.05,50,1,0.001988712,4.379607346,4.579129714,131.9152748,0.234889584,51.75351015,TRUE,5.11213,0.0100464,13861.9
90,0.05,50,1,0.676526224,1.994747634,0.039006396,0.017587177,0.006750678,2.076909804,TRUE,5.2096,0.00997532,14102.1
90,0.05,50,1,0.008871852,12.64871959,638.9163085,0.003548496,0.03635868,40.11401156,TRUE,5.19325,0.00845192,13912
90,0.05,50,1,0.372873935,4.253600009,0.074316142,0.570313379,22.89423433,227.7654394,TRUE,5.13453,0.0107382,13781.2
90,0.05,50,1,11.7568604,6.608891523,30.83606446,6.601616307,0.002627355,0.343763547,TRUE,5.04597,0.00879581,13561.8
90,0.05,50,1,0.118764499,3.772918217,0.596076421,0.181433447,0.002018577,0.00664438,TRUE,5.04621,0.0101184,13565.3
90,0.05,50,1,12.70948644,0.059910105,1.22150607,0.942201526,0.265441849,0.058288165,TRUE,5.25682,0.0115245,14110.8
90,0.05,50,1,0.034306734,0.159861665,0.133527505,0.459926123,0.992942494,20.10561224,TRUE,5.02374,0.00947852,13465.6
90,0.05,50,1,0.013960146,26.23026999,8.479468564,80.4777691,31.45926458,0.560618835,TRUE,5.16795,0.0111929,13732.8
90,0.05,50,1,18.90372896,8.931695454,0.003007781,9.290979033,13.29353848,0.423470711,TRUE,5.07276,0.00987888,13483.5
90,0.05,50,1,0.112551206,2.229739633,140.8334168,17.25226416,2.996490036,2.248096657,TRUE,5.05145,0.0110266,13417.3
90,0.05,50,1,3.761518378,0.064570964,0.397347685,0.871431336,14.146996,0.224872413,TRUE,5.09332,0.0114678,13543.1
90,0.05,50,1,490.4253564,0.229242469,0.429437922,1.150634081,2.93908604,345.5542563,TRUE,5.25275,0.0109062,14001.9
90,0.05,50,1,2.767714045,69.24972711,29.54877239,0.016861783,22.21749313,0.45426825,TRUE,5.19655,0.00976787,13825.3
90,0.05,50,1,0.163162562,1.070651283,65.93514151,0.018914319,0.134551007,1.605107228,TRUE,5.05193,0.0120072,13385.1
90,0.05,50,1,0.003873161,80.43981993,0.027442473,0.021869917,17.86018998,0.971851866,TRUE,5.12327,0.0108812,13632.3
90,0.05,50,1,0.489477118,1.05978021,0.335280931,44.0358911,0.156999614,1.82995814,TRUE,5.07709,0.0108192,13486.8
90,0.05,50,1,29.02623079,25.85340135,1.73304746,0.004102838,6.234365326,288.102082,TRUE,5.14701,0.0103744,13657
90,0.05,50,1,1.019029897,0.007250277,70.87218557,130.7653667,1.288148055,173.9291792,TRUE,5.02123,0.00876323,13334
90,0.05,50,1,0.110211408,0.96522946,0.001359234,33.38203444,114.9174474,0.050137697,TRUE,5.21396,0.0139785,13840.5
90,0.05,50,1,1.123994969,0.565838291,1.954653831,9.864012076,7.778409259,41.23390591,TRUE,5.12927,0.0106985,13604.2
90,0.05,50,1,0.101521166,853.6251156,0.001533086,0.00157313,0.01014618,0.162924389,TRUE,5.06226,36.1234,15.9583
90,0.05,50,1,2.37454564,5.369104497,0.026403848,0.038983762,31.95659964,0.127164014,TRUE,7.98601,117.779,5.06944
90,0.05,50,1,5.73973722,0.059539164,2.452377712,5.512682464,0.174389362,4.43415051,FALSE,90.3314,718.429,84.042
90,0.05,50,1,2.708415518,7.601201924,42.16821692,0.238775887,0.065804282,57.82580701,TRUE,8.89888,136.604,14.7095
90,0.05,50,1,0.155296587,78.29354536,40.379756,4906.340258,1.254433338,0.030116175,FALSE,90.0077,1220.36,17.7783
90,0.05,50,1,12.75157081,6.761669224,0.302856287,5.6375724,0.045395205,59.85670104,TRUE,5.21186,50.327,6.21815
90,0.05,50,1,4.388146391,20.91698391,19422.37949,0.042104351,5.499036592,0.078209389,FALSE,90.0865,1867.22,33.1027
90,0.05,50,1,4.124361695,0.149450194,42.27715831,5.620541786,31.10515102,0.029457996,FALSE,90.0204,1363.37,55.6128
90,0.05,50,1,0.009220743,0.004414487,20.94450826,0.85459827,8.625046809,2.185317464,TRUE,5.62103,10.7425,27126.2
90,0.05,50,1,4.07292908,0.305351061,0.115247611,0.039264545,28.11384397,0.450923837,TRUE,5.01325,12.5403,1696.57
90,0.05,50,1,0.108801061,30.45014901,0.335724421,42.32095629,2.634803044,0.009950978,TRUE,5.13397,0.0558791,97.2425
90,0.05,50,1,0.057794522,0.935108267,15.34865307,32.82561056,2.205949112,0.115552112,TRUE,5.05013,0.0334223,96.547
90,0.05,50,1,0.005643497,0.018001461,2.706971335,2.632375349,0.184617649,3.341134154,TRUE,5.13578,9.74278,131.734
90,0.05,50,1,0.757823764,0.043016655,0.00033439,23.58470383,0.823688118,47.2133866,TRUE,5.00636,0.108546,145.4
90,0.05,50,1,0.051519054,0.035947174,0.797499536,3.415571722,6.897622915,0.257599223,TRUE,5.02911,0.0386428,160.414
90,0.05,50,1,3.1992563,0.028427419,266.587585,70.16718346,1.230727943,24.70692431,TRUE,5.15182,0.0279219,336.114
90,0.05,50,1,13.66545569,0.901131596,0.200021337,142.3806163,1.782394458,0.02054471,TRUE,5.18838,0.0461278,594.105
90,0.05,50,1,8.739283424,0.670171092,4.502615157,2.561210421,1.815010574,0.01363861,TRUE,5.11569,0.0321015,1093.21
90,0.05,50,1,0.020355092,0.01846898,0.162615622,0.231353842,0.005489919,61.48585165,TRUE,5.13086,0.11034,591.059
90,0.05,50,1,3155.934645,0.973823703,23.90545823,10.81567169,2.466784985,0.010229502,TRUE,5.08432,0.156141,1575.28
90,0.05,50,1,0.056018877,3.291945568,86.50836031,0.060657737,4.415664065,0.122971589,TRUE,5.02655,0.0537378,454.733
90,0.05,50,1,0.542215144,163.6700363,10.71187809,0.008676932,2.239834149,0.086391485,TRUE,5.013,0.0827805,452.449
90,0.05,50,1,439.3724163,0.065156469,0.081829804,0.237237761,0.038600887,0.241640812,TRUE,5.04579,0.0218724,456.429
90,0.05,50,1,44.73642512,224.3140104,0.377271383,0.004794189,24.1685065,11.78395157,TRUE,5.11024,0.0225448,463.77
90,0.05,50,1,0.261414222,0.075073377,0.00256257,18.10981913,0.159995219,0.013675939,TRUE,5.16839,0.0217336,469.166
90,0.05,50,1,0.147297418,0.008201417,1.281083058,34778.97466,6.564543327,0.234573906,TRUE,5.08262,0.0371774,461.64
90,0.05,50,1,0.014028687,0.00594632,1.344446475,0.103518746,32.15054723,2.661637964,TRUE,5.04815,0.0163113,458.382
90,0.05,50,1,77.83418464,16.92394905,0.053435324,0.424102028,83.71640843,17.98250387,TRUE,5.09287,0.0311279,462.716
90,0.05,50,1,23.65754179,21.62477996,0.749110502,0.024620083,1.382459175,0.004458492,TRUE,5.0432,0.0262313,457.865
90,0.05,50,1,0.878908405,9.467816691,0.066150543,1.78037942,0.602304603,0.25386109,TRUE,5.04603,0.0562108,449.012
90,0.05,50,1,0.177881048,0.010048167,0.481421034,4205.57917,0.762348154,0.068265669,TRUE,5.00865,0.0616241,303.121
90,0.05,50,1,4.42055356,0.575873099,116.9307282,0.15795401,0.546875738,1.018454169,TRUE,5.10104,0.0158655,292.961
90,0.05,50,1,1.812001808,122.5521766,413.4588935,5.374522554,1046.526352,349.7435966,TRUE,5.07196,0.0204022,286.313
